reward_today,future_reward,delay,delay_raw,future_reward_raw,key_resp.duration_raw,key_resp.keys_raw,key_resp.rt_raw,reward_today_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
11,30,7,162,80,,t,0.2743508749990724,78,0,0,0
15,35,13,13,35,,t,0.2607692080000561,15,1,0,1
27,50,21,7,30,,l,0.15326562500013097,11,2,0,2
40,55,62,119,76,,l,0.1632809169987013,67,3,0,3
49,60,89,89,60,,l,0.015282499998647836,49,4,0,4
67,76,119,21,50,,l,0.15667149999899266,27,5,0,5
78,80,162,62,55,,t,0.08194704199922853,40,6,0,6

extraInfo
participant,2
session,001
date,2024-11-30_15h13.26.077
expName,Delay Discounting
psychopyVersion,2024.2.4
frameRate,119.15424223559961
expStart,2024-11-30 15h13.33.089323 +0530
