Study_word,Study_word_raw,Studyslider.response_raw,Studyslider.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
book,Pastry,2.0,3.752178916001867,0,0,0
cushion,board,2.0035971223021583,1.4577359160030028,1,0,1
phone,T-shirt,2.0035971223021583,1.078543167001044,2,0,2
marble,book,1.0107913669064748,2.1898105000000214,3,0,3
board,Keys,1.0,1.7082707079971442,4,0,4
Laptop,Case,1.0,0.7750786249962403,5,0,5
Chart,Poster,1.9928057553956835,1.7020880830023088,6,0,6
T-shirt,Cruise,1.9928057553956835,0.7566787499963539,7,0,7
mouse,Police,1.9928057553956835,0.7065100420004455,8,0,8
Pastry,mouse,1.9928057553956835,0.4728790419976576,9,0,9
Case,phone,1.9928057553956835,0.5900355830017361,10,0,10
Cruise,cushion,1.9928057553956835,0.7232608750055078,11,0,11
Police,marble,1.9928057553956835,0.7567003750009462,12,0,12
Keys,Chart,1.9928057553956835,0.5235669589965255,13,0,13
Poster,Laptop,1.9928057553956835,1.1562629590043798,14,0,14

extraInfo
participant,1
session,001
date,2024-11-06_10h22.29.035
expName,primming 5.0
psychopyVersion,2024.2.4
frameRate,121.49235179030909
expStart,2024-11-06 10h22.37.797061 +0530
